given_name,last_name,bias
Florian,Ostermaier,-0.81
Christa,Deinlein,-0.71
Martin,Plesch,-0.7
Kreso,Zadro,-0.65
Kim,Freimann,-0.51
Ivan,Antsipau,-0.47
Dina,Izadi,-0.47
Hermann,Klein,-0.44
Kent,Hogan,-0.39
Samuel,Byland,-0.36
Chenghou,Tu,-0.35
Hsu,Yung-Yuan,-0.33
Jong,Tan,-0.32
Andrzej,Nadolny,-0.24
Feng,Song,-0.22
Dagmar,Panosova,-0.2
Judit,Illy,-0.2
Gavin,Jennings,-0.2
František,Kundracik,-0.18
Xuewei,Cao,-0.16
Ye,Yeo,-0.14
Daniela,Ivanova,-0.13
Michael,Sinzinger,-0.13
George,Laskhishvili,-0.11
Hsien-chung,Kao,-0.1
Martin,Leonhard,-0.09
Kathryn,Zealand,-0.07
Horst,Bittner,-0.07
Chan Oong,Park,-0.06
Steve,Adams,-0.04
Ricky,Regner,-0.04
Prapun,Manyum,-0.03
Hong,Jung,-0.02
Rawlinson Medeiros,Ibiapina,-0.02
Tomáš,Bzdušek,-0.01
Francis,Ekwenta,-0.01
Assen,Kyuldjiev,-0
Joy,Tan,0
Othmar,Marti,0.02
Patrick,Kerner,0.02
Rok,Capuder,0.03
Ilana,Massarek,0.04
Fabian,Buehler,0.04
Kirsten,Stadermann,0.06
Ilya,Martchenko,0.06
Mattias,Andersson,0.08
Valentin,Lobyshev,0.09
Olga,Inisheva,0.1
Andreas,Kratzer,0.12
Nicolas,Chevalier,0.13
Heinz,Kabelka,0.13
Chuanyong,Li,0.14
Alan,Allinson,0.16
John,Balcombe,0.17
Teimuraz,Gachechiladze,0.19
Peter,Reineker,0.2
Juergen,Durst,0.22
Nirut,Pussadee,0.24
Davor,Stolcic,0.27
Rita,Wodzinski,0.3
David,Wharam,0.3
Raimund,Girwidz,0.31
Eugen,Voit,0.33
Andreas,Vaterlaus,0.33
Philip,O'Neill,0.34
Matthias,Theis,0.38
Klaus,Roeller,0.39
Stanislav,Panos,0.42
ByungHoon,Chung,0.42
Zsuzsanna,Rajkovits,0.44
Benjamin,Obert,0.44
Angela,Foesel,0.48
Matthias,Mueller,0.52
Carsten,Geckeler,0.54
Francisco,Swaminathan,0.56
Metin,Tolan,0.64
Patrick,Soudan,0.73
Karl,Heller,0.77
Władysław,Borgieł,0.81
Michael,Gierling,0.89
Nien,Cheng-Hsun,0
Uno,Uno,0
